Geneid	Chr	Start	End	Strand	Length	NF54-24h_S6_L001.bam	NF54-24h_S8_L001.bam	PB58-24h-14_S2.bam	PB58-24h_S3_L001.bam
PF3D7_1254100	Pf3D7_12_v3	2204724	2205714	+	991	31	11	0	2
PF3D7_0826900	Pf3D7_08_v3	1164655	1167205	+	2551	84	38	124	179
PF3D7_0101100	Pf3D7_01_v3	69304	70417	-	1114	2	2	3	6
PF3D7_1224500	Pf3D7_12_v3	998353	999275	+	923	73	24	42	31
PF3D7_0112100	Pf3D7_01_v3	454847	455338	+	492	2	3	4	4
PF3D7_0936900	Pf3D7_09_v3	1462400	1463659	+	1260	228	30	20	78
PF3D7_0920300	Pf3D7_09_v3	831669	832648	+	980	9	3	2	5
PF3D7_0929800	Pf3D7_09_v3	1186606	1186902	-	297	0	0	0	0
PF3D7_0217100	Pf3D7_02_v3	707738	709393	+	1656	150	6	74	42
PF3D7_1007500	Pf3D7_10_v3	298361	298687	+	327	7	27	16	45
PF3D7_0412700	Pf3D7_04_v3	561667	569342	-	7676	26	62	3	4
PF3D7_1230800	Pf3D7_12_v3	1263661	1265593	+	1933	327	223	307	339
PF3D7_0320900	Pf3D7_03_v3	875213	876295	+	1083	726	303	308	256
PF3D7_0416900	Pf3D7_04_v3	732452	739872	-	7421	195	132	87	148
PF3D7_0631600	Pf3D7_06_v3	1323294	1324435	+	1142	1	3	0	1
PF3D7_1011800	Pf3D7_10_v3	455398	458817	+	3420	6221	4317	4073	6415
PF3D7_1019500	Pf3D7_10_v3	787745	795220	-	7476	147	11	82	52
PF3D7_1140700	Pf3D7_11_v3	1623447	1630274	-	6828	531	639	275	580
PF3D7_1118900	Pf3D7_11_v3	716795	718412	+	1618	13	3	11	11
PF3D7_0214900	Pf3D7_02_v3	610625	615372	+	4748	28	7	44	13
PF3D7_1033400	Pf3D7_10_v3	1339762	1340628	+	867	2229	1261	1488	1551
PF3D7_1210900	Pf3D7_12_v3	480593	482806	+	2214	17	8	12	13
PF3D7_1477200	Pf3D7_14_v3	3175541	3176458	+	918	1	0	1	5
PF3D7_0626500	Pf3D7_06_v3	1069962	1072805	+	2844	2	1	7	2
mal_rna_9	Pf_M76611	1698	1763	+	66	0	0	0	0
malmito_rna_RNA22	Pf_M76611	5341	5378	-	38	1	0	0	0
PF3D7_1032800	Pf3D7_10_v3	1313255	1314721	-	1467	25	5	11	19
PF3D7_1013200	Pf3D7_10_v3	511084	514278	+	3195	200	205	119	256
PF3D7_1438600	Pf3D7_14_v3	1562232	1563065	+	834	17	36	53	50
PF3D7_0109700	Pf3D7_01_v3	379149	379806	-	658	108	91	98	109
PF3D7_0910300	Pf3D7_09_v3	475671	476969	+	1299	119	186	145	181
PF3D7_1353100	Pf3D7_13_v3	2124272	2125270	-	999	884	1230	1331	862
PF3D7_1252600	Pf3D7_12_v3	2150554	2151915	+	1362	46	38	47	44
PF3D7_1343600	Pf3D7_13_v3	1721904	1723685	-	1782	57	11	49	62
PF3D7_1225600	Pf3D7_12_v3	1035261	1038155	-	2895	563	375	562	525
PF3D7_0517700	Pf3D7_05_v3	743179	745329	+	2151	1947	1069	1457	1374
PF3D7_1027900	Pf3D7_10_v3	1156648	1158980	+	2333	38	3	21	30
PF3D7_1013000	Pf3D7_10_v3	500210	502221	+	2012	32	39	43	58
PF3D7_0413200	Pf3D7_04_v3	603166	604456	-	1291	4	5	0	1
PF3D7_0816500	Pf3D7_08_v3	760138	761031	+	894	1	0	0	4
PF3D7_1339600	Pf3D7_13_v3	1588404	1590290	+	1887	42	23	65	44
PF3D7_0919600	Pf3D7_09_v3	800703	802136	+	1434	24	13	13	18
PF3D7_0521300	Pf3D7_05_v3	870184	874570	-	4387	138	106	131	108
PF3D7_0930300	Pf3D7_09_v3	1201812	1206974	+	5163	354	97	479	171
PF3D7_1025900	Pf3D7_10_v3	1091436	1097277	-	5842	68	30	97	86
PF3D7_1214300	Pf3D7_12_v3	608542	610013	-	1472	107	74	102	102
PF3D7_0305300	Pf3D7_03_v3	255276	258416	-	3141	266	346	481	414
PF3D7_1339400	Pf3D7_13_v3	1585806	1586399	-	594	29	4	25	12
PF3D7_1453300	Pf3D7_14_v3	2187385	2187615	+	231	0	0	0	0
PF3D7_1409900	Pf3D7_14_v3	389592	391595	+	2004	429	227	287	318
PF3D7_1124100	Pf3D7_11_v3	951382	956343	-	4962	331	221	235	333
PF3D7_0415600	Pf3D7_04_v3	689640	690329	-	690	22	24	16	16
PF3D7_1247600	Pf3D7_12_v3	1962774	1964258	-	1485	1	0	4	2
PF3D7_0930700	Pf3D7_09_v3	1221987	1223606	+	1620	51	71	53	83
PF3D7_1403700	Pf3D7_14_v3	133737	135073	-	1337	26	8	6	30
PF3D7_0524100	Pf3D7_05_v3	1004237	1008108	+	3872	204	126	219	158
PF3D7_0315700	Pf3D7_03_v3	638283	641306	+	3024	13	9	8	13
PF3D7_1338000	Pf3D7_13_v3	1536463	1540353	+	3891	98	53	77	76
PF3D7_1009900	Pf3D7_10_v3	399207	401778	+	2572	61	32	38	70
PF3D7_0303400	Pf3D7_03_v3	178420	181127	+	2708	13	10	21	18
PF3D7_1110800	Pf3D7_11_v3	430157	431476	-	1320	8	1	3	2
PF3D7_1357900	Pf3D7_13_v3	2295637	2297156	+	1520	570	387	459	336
PF3D7_1422700	Pf3D7_14_v3	913819	917391	+	3573	300	123	156	159
PF3D7_0621600	Pf3D7_06_v3	883563	883644	-	82	2	0	0	0
PF3D7_1432100	Pf3D7_14_v3	1260908	1262826	+	1919	66	41	96	54
PF3D7_1466700	Pf3D7_14_v3	2729370	2730811	+	1442	105	109	155	96
PF3D7_0929400	Pf3D7_09_v3	1175203	1180762	+	5560	55	14	113	26
PF3D7_0223400	Pf3D7_02_v3	913244	914457	+	1214	20	17	5	7
PF3D7_0418200	Pf3D7_04_v3	817400	818689	+	1290	694	534	624	532
PF3D7_1310500	Pf3D7_13_v3	463385	464002	-	618	43	26	46	40
PF3D7_0210600	Pf3D7_02_v3	432041	434086	-	2046	19	4	22	9
PF3D7_0901900	Pf3D7_09_v3	86384	88075	-	1692	7	8	4	9
PF3D7_1021800	Pf3D7_10_v3	896865	903608	-	6744	248	14	188	94
PF3D7_1215500	Pf3D7_12_v3	633892	634545	-	654	3	0	3	2
PF3D7_1001300	Pf3D7_10_v3	72934	73917	-	984	9	3	13	11
PF3D7_1244500	Pf3D7_12_v3	1864229	1866661	-	2433	5	5	29	8
PF3D7_1419000	Pf3D7_14_v3	786958	790458	-	3501	102	29	54	77
PF3D7_API01900	Pf3D7_API_v3	4581	4805	+	225	0	0	0	0
PF3D7_1429500	Pf3D7_14_v3	1164332	1166566	+	2235	59	38	41	43
PF3D7_0425300	Pf3D7_04_v3	1141222	1142096	+	875	0	0	0	0
PF3D7_1348300	Pf3D7_13_v3	1929091	1933721	-	4631	111	183	160	168
PF3D7_API04900	Pf3D7_API_v3	24053	26748	-	2696	0	0	0	1
PF3D7_0932800	Pf3D7_09_v3	1303390	1307789	-	4400	513	374	345	475
PF3D7_0615100	Pf3D7_06_v3	623023	624321	-	1299	4	3	4	5
PF3D7_0604700	Pf3D7_06_v3	204640	206207	-	1568	93	11	30	32
PF3D7_1209400	Pf3D7_12_v3	436092	438470	+	2379	95	34	56	59
PF3D7_0308300	Pf3D7_03_v3	365659	366672	-	1014	8	4	7	4
PF3D7_1039800	Pf3D7_10_v3	1594503	1595277	-	775	0	0	2	0
PF3D7_1131400	Pf3D7_11_v3	1204297	1209587	-	5291	57	15	17	25
PF3D7_1107700	Pf3D7_11_v3	326881	328812	+	1932	482	383	368	483
PF3D7_0809700	Pf3D7_08_v3	499463	501569	-	2107	6	2	19	10
PF3D7_0824800	Pf3D7_08_v3	1075800	1079630	+	3831	145	242	145	373
PF3D7_1209700	Pf3D7_12_v3	445625	447268	+	1644	75	20	19	40
PF3D7_0723800	Pf3D7_07_v3	993232	1000233	+	7002	119	16	69	41
PF3D7_1021900	Pf3D7_10_v3	905473	912345	-	6873	1532	414	608	822
PF3D7_1460500	Pf3D7_14_v3	2466091	2470989	+	4899	179	64	113	173
PF3D7_1253400	Pf3D7_12_v3	2180419	2182869	+	2451	11	2	6	7
PF3D7_0611400	Pf3D7_06_v3	471658	474150	-	2493	79	112	95	112
PF3D7_1451600	Pf3D7_14_v3	2115436	2118190	-	2755	12	0	13	2
PF3D7_1436000	Pf3D7_14_v3	1458131	1459870	+	1740	1994	1970	1912	2039
PF3D7_0530400	Pf3D7_05_v3	1238633	1243987	-	5355	38	11	12	39
PF3D7_0730500	Pf3D7_07_v3	1305894	1314215	-	8322	114	15	87	45
PF3D7_0923600	Pf3D7_09_v3	958763	959917	+	1155	20	3	13	11
PF3D7_0403800	Pf3D7_04_v3	211515	213854	-	2340	17	20	17	21
PF3D7_0306700	Pf3D7_03_v3	304317	304999	+	683	86	58	67	51
PF3D7_1449200	Pf3D7_14_v3	2014670	2015055	+	386	9	6	20	6
PF3D7_1206200	Pf3D7_12_v3	275744	279336	-	3593	1849	1857	1859	2514
PF3D7_0508000	Pf3D7_05_v3	328666	329715	-	1050	13	1	19	6
PF3D7_1450100	Pf3D7_14_v3	2051621	2053123	-	1503	356	244	482	249
PF3D7_0401800	Pf3D7_04_v3	103742	105603	-	1862	2901	3363	741	1117
PF3D7_1467300	Pf3D7_14_v3	2750958	2752424	+	1467	74	23	61	24
PF3D7_0937800	Pf3D7_09_v3	1495579	1503336	-	7758	199	119	130	116
PF3D7_0218700	Pf3D7_02_v3	763491	765191	-	1701	267	225	263	233
PF3D7_0530750	Pf3D7_05_v3	1254282	1254796	-	515	24	13	13	24
PF3D7_1313500	Pf3D7_13_v3	573169	578479	-	5311	1	1	4	2
PF3D7_1359600	Pf3D7_13_v3	2371882	2377959	+	6078	1583	537	407	517
PF3D7_0706400	Pf3D7_07_v3	306855	307133	-	279	972	553	588	589
PF3D7_0830100	Pf3D7_08_v3	1280935	1283761	+	2827	25	4	5	15
PF3D7_0801100	Pf3D7_08_v3	91397	97571	-	6175	28	7	34	11
PF3D7_1349000	Pf3D7_13_v3	1966890	1969427	-	2538	3	2	1	0
PF3D7_1334200	Pf3D7_13_v3	1398271	1399845	+	1575	394	332	540	490
PF3D7_0811000	Pf3D7_08_v3	554437	557205	+	2769	44	2	25	17
PF3D7_0804700	Pf3D7_08_v3	271417	277413	-	5997	30	24	46	36
PF3D7_1133300	Pf3D7_11_v3	1290501	1291601	+	1101	6	0	12	8
PF3D7_0904700	Pf3D7_09_v3	218675	219462	-	788	10	2	6	4
PF3D7_0529400	Pf3D7_05_v3	1199165	1205187	+	6023	517	156	283	263
PF3D7_0312000	Pf3D7_03_v3	512130	512951	+	822	28	1	8	2
PF3D7_1418900	Pf3D7_14_v3	783078	785819	-	2742	305	337	331	401
PF3D7_1148900	Pf3D7_11_v3	1945778	1946047	+	270	105	169	220	93
PF3D7_1028300	Pf3D7_10_v3	1168010	1168957	-	948	221	206	224	283
PF3D7_1240700	Pf3D7_12_v3	1728774	1730007	+	1234	0	0	0	0
PF3D7_1310000	Pf3D7_13_v3	448907	449668	+	762	4	3	7	8
PF3D7_0300200	Pf3D7_03_v3	46369	47579	-	1211	208	757	9	12
PF3D7_1341500	Pf3D7_13_v3	1639617	1641143	+	1527	12	2	15	7
PF3D7_1243900	Pf3D7_12_v3	1834064	1840736	-	6673	16	4	24	16
PF3D7_1323700	Pf3D7_13_v3	982611	983801	+	1191	24	10	33	9
PF3D7_1327300	Pf3D7_13_v3	1145719	1151106	+	5388	462	230	528	606
PF3D7_1476200	Pf3D7_14_v3	3133951	3135651	+	1701	569	477	603	466
PF3D7_0730600	Pf3D7_07_v3	1318059	1318131	+	73	0	0	0	0
PF3D7_1229000	Pf3D7_12_v3	1186415	1191919	+	5505	127	120	153	133
PF3D7_0826500	Pf3D7_08_v3	1152302	1156282	+	3981	327	231	234	266
PF3D7_0830000	Pf3D7_08_v3	1280004	1280114	+	111	1	0	0	0
PF3D7_0723500	Pf3D7_07_v3	984778	985458	-	681	17	18	14	10
PF3D7_1024700	Pf3D7_10_v3	1030044	1031534	+	1491	95	5	19	14
PF3D7_1225300	Pf3D7_12_v3	1029862	1031388	+	1527	107	152	190	163
PF3D7_0532500	Pf3D7_05_v3	1316342	1316846	+	505	34	41	4	7
PF3D7_0210300	Pf3D7_02_v3	423063	424654	-	1592	103	37	52	57
PF3D7_1201700	Pf3D7_12_v3	103861	104604	-	744	1	3	2	2
PF3D7_1142900	Pf3D7_11_v3	1715283	1716806	+	1524	3	1	2	4
PF3D7_1111300	Pf3D7_11_v3	442959	443828	-	870	0	9	8	14
PF3D7_0627200	Pf3D7_06_v3	1095065	1096373	-	1309	4	3	7	7
PF3D7_0729700	Pf3D7_07_v3	1260154	1262780	-	2627	3	0	5	1
PF3D7_1023700	Pf3D7_10_v3	991147	993420	+	2274	4	1	3	0
PF3D7_1213200	Pf3D7_12_v3	577529	578365	+	837	34	29	50	56
PF3D7_1012500	Pf3D7_10_v3	478758	480539	-	1782	202	76	149	124
PF3D7_1402700	Pf3D7_14_v3	94980	98404	-	3425	503	284	227	386
PF3D7_0421900	Pf3D7_04_v3	997240	997455	+	216	1	2	3	1
PF3D7_1235400	Pf3D7_12_v3	1476529	1480014	-	3486	30	16	40	18
PF3D7_0104000	Pf3D7_01_v3	175609	176376	+	768	3	0	3	1
PF3D7_0731100	Pf3D7_07_v3	1338959	1341790	+	2832	1213	1470	2058	1557
PF3D7_1141100	Pf3D7_11_v3	1649321	1657012	+	7692	14	15	8	19
PF3D7_1219900	Pf3D7_12_v3	796500	797183	+	684	126	45	53	47
PF3D7_1470800	Pf3D7_14_v3	2892221	2895999	-	3779	56	24	63	59
PF3D7_1428900	Pf3D7_14_v3	1134854	1139191	-	4338	153	22	68	84
malmito_rna_10	Pf_M76611	625	724	-	100	2	0	2	0
PF3D7_0816700	Pf3D7_08_v3	767110	767880	+	771	50	11	33	32
PF3D7_0909600	Pf3D7_09_v3	433238	435373	-	2136	25	8	24	30
PF3D7_0632800	Pf3D7_06_v3	1374797	1382627	-	7831	135	659	4	0
PF3D7_1307400	Pf3D7_13_v3	335852	337263	-	1412	4	6	7	1
PF3D7_1213700	Pf3D7_12_v3	588128	588982	-	855	129	48	88	70
PF3D7_1020500	Pf3D7_10_v3	825451	826971	+	1521	34	20	22	36
PF3D7_1438500	Pf3D7_14_v3	1557527	1560157	-	2631	143	141	182	201
PF3D7_1205600	Pf3D7_12_v3	249336	251399	-	2064	1154	141	459	367
PF3D7_1428500	Pf3D7_14_v3	1118591	1126292	+	7702	12	5	13	4
PF3D7_1133600	Pf3D7_11_v3	1298474	1300600	-	2127	13	12	16	23
PF3D7_0422300	Pf3D7_04_v3	1022487	1024166	+	1680	736	175	135	425
PF3D7_1122700	Pf3D7_11_v3	868388	869152	-	765	2	2	5	1
PF3D7_0320500	Pf3D7_03_v3	860813	862102	+	1290	259	357	235	406
PF3D7_1208100	Pf3D7_12_v3	361900	375874	+	13975	186	329	214	338
PF3D7_0523300	Pf3D7_05_v3	970266	970962	-	697	30	5	17	25
PF3D7_1329200	Pf3D7_13_v3	1237200	1238429	-	1230	26	7	6	2
PF3D7_1245900	Pf3D7_12_v3	1910963	1911898	+	936	34	30	18	37
PF3D7_0506800	Pf3D7_05_v3	284691	288023	+	3333	245	264	288	250
PF3D7_0527100	Pf3D7_05_v3	1129959	1130754	-	796	641	256	344	239
PF3D7_1008700	Pf3D7_10_v3	360625	362480	-	1856	970	128	207	331
PF3D7_1472400	Pf3D7_14_v3	2957474	2961618	+	4145	83	48	57	109
PF3D7_0524700	Pf3D7_05_v3	1019585	1019902	-	318	236	106	104	105
PF3D7_0911000	Pf3D7_09_v3	500183	502733	+	2551	27	9	29	11
PF3D7_1234500	Pf3D7_12_v3	1439896	1441050	-	1155	39	60	47	73
PF3D7_1245600	Pf3D7_12_v3	1900249	1905066	-	4818	3	2	8	8
PF3D7_0510300	Pf3D7_05_v3	440779	441879	-	1101	8	2	8	9
PF3D7_1008800	Pf3D7_10_v3	365737	367146	-	1410	1275	1016	1356	1203
PF3D7_1408900	Pf3D7_14_v3	351025	352047	-	1023	103	80	93	109
PF3D7_1335500	Pf3D7_13_v3	1451489	1453443	+	1955	3	1	0	0
PF3D7_1421100	Pf3D7_14_v3	871000	874761	+	3762	53	19	37	33
PF3D7_0809200	Pf3D7_08_v3	467943	471893	-	3951	80	211	104	177
PF3D7_1209500	Pf3D7_12_v3	439711	442858	+	3148	22	5	25	17
PF3D7_0800900	Pf3D7_08_v3	83128	83904	+	777	1	1	8	3
PF3D7_1130500	Pf3D7_11_v3	1171680	1175724	+	4045	89	17	54	29
PF3D7_1241100	Pf3D7_12_v3	1746444	1747993	-	1550	165	121	176	120
PF3D7_1213600	Pf3D7_12_v3	586809	587090	+	282	115	14	46	13
PF3D7_1439800	Pf3D7_14_v3	1618819	1619794	+	976	404	270	393	272
PF3D7_0916700	Pf3D7_09_v3	696863	698029	-	1167	544	320	1103	286
PF3D7_1016300	Pf3D7_10_v3	650898	653567	-	2670	18365	2666	6435	3266
PF3D7_0628800	Pf3D7_06_v3	1185996	1188644	-	2649	117	41	47	99
PF3D7_1115200	Pf3D7_11_v3	576773	580276	+	3504	285	430	529	413
PF3D7_1460700	Pf3D7_14_v3	2475501	2476473	-	973	1697	891	1079	1001
PF3D7_0825100	Pf3D7_08_v3	1091998	1093221	+	1224	1	0	1	0
PF3D7_0407300	Pf3D7_04_v3	366379	367341	+	963	51	59	42	61
PF3D7_1451400	Pf3D7_14_v3	2108874	2112788	+	3915	96	114	60	107
PF3D7_1329500	Pf3D7_13_v3	1252059	1257973	+	5915	980	757	1300	454
PF3D7_0901100	Pf3D7_09_v3	61342	62553	-	1212	1	2	0	0
PF3D7_1423500	Pf3D7_14_v3	947387	952348	-	4962	65	208	203	126
PF3D7_1317700	Pf3D7_13_v3	738480	738953	-	474	44	40	29	49
PF3D7_API05300	Pf3D7_API_v3	27035	27106	+	72	0	0	0	0
PF3D7_1327700	Pf3D7_13_v3	1160461	1161276	-	816	35	42	72	36
PF3D7_0708400	Pf3D7_07_v3	381592	384614	+	3023	24235	10111	10905	13361
PF3D7_1308800	Pf3D7_13_v3	403788	406703	-	2916	117	16	61	47
PF3D7_1365500	Pf3D7_13_v3	2619028	2620567	+	1540	203	79	107	102
PF3D7_1427200	Pf3D7_14_v3	1061805	1062779	+	975	0	5	11	1
PF3D7_1350100	Pf3D7_13_v3	2005962	2007950	-	1989	1256	706	767	828
PF3D7_1325000	Pf3D7_13_v3	1042855	1043088	-	234	124	40	79	53
PF3D7_0704800	Pf3D7_07_v3	238159	242052	-	3894	18	3	15	12
PF3D7_0222300	Pf3D7_02_v3	883452	884312	+	861	1	7	0	7
PF3D7_1240300	Pf3D7_12_v3	1694150	1703087	+	8938	121	45	39	34
PF3D7_1451900	Pf3D7_14_v3	2128168	2131257	-	3090	477	487	394	620
PF3D7_1411100	Pf3D7_14_v3	447923	449968	-	2046	28	42	77	37
PF3D7_1126300	Pf3D7_11_v3	1026976	1029544	+	2569	35	39	59	20
PF3D7_1004700	Pf3D7_10_v3	220018	221353	-	1336	22	9	15	15
PF3D7_0932000	Pf3D7_09_v3	1278007	1278896	+	890	18	4	28	15
PF3D7_0826200	Pf3D7_08_v3	1142499	1144307	-	1809	3	1	9	6
PF3D7_1027200	Pf3D7_10_v3	1138002	1139564	+	1563	258	142	215	225
PF3D7_1407500	Pf3D7_14_v3	269881	270927	+	1047	95	59	49	56
PF3D7_0622700	Pf3D7_06_v3	916000	917299	-	1300	12	6	14	11
PF3D7_0516500	Pf3D7_05_v3	683708	685859	+	2152	69	4	31	15
PF3D7_0815400	Pf3D7_08_v3	725781	726502	-	722	38	11	33	20
PF3D7_1304000	Pf3D7_13_v3	216652	220029	-	3378	123	6	44	23
PF3D7_0726400	Pf3D7_07_v3	1108831	1124492	-	15662	212	272	197	274
PF3D7_1335400	Pf3D7_13_v3	1440779	1450385	+	9607	27	9	50	23
PF3D7_0308500	Pf3D7_03_v3	369925	370789	+	865	353	79	153	136
PF3D7_0204500	Pf3D7_02_v3	198353	199570	-	1218	152	113	103	183
PF3D7_1436900	Pf3D7_14_v3	1500128	1500965	-	838	25	20	30	37
PF3D7_0411200	Pf3D7_04_v3	505933	509670	-	3738	93	62	36	104
PF3D7_1445700	Pf3D7_14_v3	1875421	1876874	-	1454	1310	771	932	1097
PF3D7_0422900	Pf3D7_04_v3	1045381	1046696	+	1316	14	3	8	10
PF3D7_1364100	Pf3D7_13_v3	2568556	2570946	+	2391	33	5	42	11
PF3D7_1225500	Pf3D7_12_v3	1033551	1035112	+	1562	104	149	124	209
PF3D7_0403000	Pf3D7_04_v3	174829	174902	+	74	0	0	0	0
PF3D7_0920600	Pf3D7_09_v3	843541	847605	+	4065	33	3	17	18
PF3D7_0715600	Pf3D7_07_v3	691068	693332	+	2265	259	21	64	61
PF3D7_0505800	Pf3D7_05_v3	252047	252606	-	560	860	336	589	386
PF3D7_1310200	Pf3D7_13_v3	454061	454636	+	576	2	2	5	1
PF3D7_1226400	Pf3D7_12_v3	1067470	1071309	-	3840	180	164	127	185
PF3D7_1221700	Pf3D7_12_v3	865726	868581	+	2856	79	64	52	89
PF3D7_0812500	Pf3D7_08_v3	626069	628945	-	2877	560	601	528	686
PF3D7_1335200	Pf3D7_13_v3	1422322	1425596	-	3275	1	0	4	2
PF3D7_1140900	Pf3D7_11_v3	1637103	1643392	-	6290	32	13	18	7
PF3D7_0414200	Pf3D7_04_v3	647389	648388	-	1000	4	0	5	2
PF3D7_1327900	Pf3D7_13_v3	1165307	1166558	+	1252	0	0	0	0
PF3D7_0524400	Pf3D7_05_v3	1013453	1014550	-	1098	456	344	370	312
mal_mito_2	Pf_M76611	1945	3471	+	1527	12	4	55	6
PF3D7_0612400	Pf3D7_06_v3	521228	521938	+	711	8	1	3	6
PF3D7_0915900	Pf3D7_09_v3	665978	666478	+	501	68	53	36	42
PF3D7_1351100	Pf3D7_13_v3	2040405	2041555	-	1151	179	61	122	93
PF3D7_1337200	Pf3D7_13_v3	1497877	1501494	+	3618	193	83	97	113
PF3D7_1351200	Pf3D7_13_v3	2043106	2047758	+	4653	76	51	50	74
PF3D7_0316100	Pf3D7_03_v3	648635	649531	+	897	21	4	18	6
PF3D7_1116100	Pf3D7_11_v3	607902	613394	-	5493	119	23	96	44
PF3D7_1231600	Pf3D7_12_v3	1301098	1304604	-	3507	257	126	290	150
PF3D7_0514500	Pf3D7_05_v3	605027	606330	-	1304	21	1	7	14
PF3D7_1328200	Pf3D7_13_v3	1186619	1195201	+	8583	44	21	43	85
PF3D7_1327100	Pf3D7_13_v3	1138558	1141561	-	3004	8	8	8	4
PF3D7_1037100	Pf3D7_10_v3	1469990	1472227	-	2238	298	152	192	244
PF3D7_1018500	Pf3D7_10_v3	735921	736813	-	893	160	81	50	57
PF3D7_1422000	Pf3D7_14_v3	891991	893049	-	1059	24	5	5	11
PF3D7_1468700	Pf3D7_14_v3	2825370	2826918	+	1549	10243	4562	7640	5465
PF3D7_1128500	Pf3D7_11_v3	1107786	1109942	+	2157	69	79	95	121
PF3D7_1224700	Pf3D7_12_v3	1003201	1007586	-	4386	48	35	31	38
PF3D7_1119900	Pf3D7_11_v3	749152	754401	+	5250	192	396	255	423
PF3D7_1303700	Pf3D7_13_v3	180549	184517	+	3969	4	1	26	7
PF3D7_0608200	Pf3D7_06_v3	341874	342821	-	948	20	8	5	14
PF3D7_0726700	Pf3D7_07_v3	1143303	1143815	-	513	39	24	28	55
PF3D7_1144900	Pf3D7_11_v3	1777525	1778928	-	1404	49	39	43	24
PF3D7_1404400	Pf3D7_14_v3	151765	152310	+	546	36	6	9	14
PF3D7_0620300	Pf3D7_06_v3	848405	850864	-	2460	6	5	4	7
PF3D7_1036500	Pf3D7_10_v3	1441901	1443568	+	1668	20	6	20	18
PF3D7_1441400	Pf3D7_14_v3	1690993	1692513	+	1521	403	190	180	200
PF3D7_1105600	Pf3D7_11_v3	241184	243517	-	2334	684	710	760	598
PF3D7_0810700	Pf3D7_08_v3	546163	547365	-	1203	92	72	60	73
PF3D7_1321800	Pf3D7_13_v3	908503	909639	+	1137	276	231	216	161
PF3D7_1015700	Pf3D7_10_v3	629909	632061	-	2153	32	4	12	9
PF3D7_0632500	Pf3D7_06_v3	1353946	1366430	-	12485	35	22	21	8
PF3D7_1136800	Pf3D7_11_v3	1449690	1451450	-	1761	96	84	80	61
PF3D7_1420400	Pf3D7_14_v3	846508	849177	+	2670	1076	740	717	1051
PF3D7_1407600	Pf3D7_14_v3	271014	277115	-	6102	22	17	33	27
PF3D7_0703100	Pf3D7_07_v3	121414	121956	+	543	13	14	10	23
PF3D7_0631300	Pf3D7_06_v3	1316873	1317721	+	849	0	0	0	0
PF3D7_1431300	Pf3D7_14_v3	1231036	1233841	+	2806	242	244	243	310
PF3D7_1349600	Pf3D7_13_v3	1997023	1998282	+	1260	86	27	51	45
PF3D7_1361800	Pf3D7_13_v3	2473530	2481626	+	8097	169	39	248	79
PF3D7_0906400	Pf3D7_09_v3	312474	314987	-	2514	8	9	33	55
PF3D7_0510200	Pf3D7_05_v3	437495	439738	+	2244	181	138	132	183
PF3D7_1035100	Pf3D7_10_v3	1391445	1393130	+	1686	6	1	14	1
PF3D7_0421700	Pf3D7_04_v3	987842	994360	-	6519	1	0	3	4
PF3D7_0829700	Pf3D7_08_v3	1271278	1272090	+	813	4	1	1	2
PF3D7_1321500	Pf3D7_13_v3	890106	894782	-	4677	50	14	33	29
PF3D7_0216000	Pf3D7_02_v3	658636	664629	+	5994	40	9	36	9
PF3D7_0309700	Pf3D7_03_v3	409102	410928	-	1827	51	34	52	51
PF3D7_1464500	Pf3D7_14_v3	2607292	2617621	+	10330	193	147	148	171
PF3D7_0907900	Pf3D7_09_v3	367865	368789	-	925	187	24	77	77
PF3D7_1355600	Pf3D7_13_v3	2202611	2204481	-	1871	41	19	37	44
PF3D7_1102200	Pf3D7_11_v3	105357	107235	-	1879	0	0	0	0
PF3D7_1237200	Pf3D7_12_v3	1550324	1556071	+	5748	520	425	348	460
PF3D7_0415000	Pf3D7_04_v3	668578	669717	-	1140	45	60	91	45
PF3D7_0106600	Pf3D7_01_v3	279115	280014	+	900	0	0	3	1
PF3D7_0806100	Pf3D7_08_v3	330651	332678	+	2028	41	30	38	31
PF3D7_1246200	Pf3D7_12_v3	1920784	1921914	+	1131	1994	262	752	621
PF3D7_0716700	Pf3D7_07_v3	728109	731126	+	3018	68	15	29	41
PF3D7_1109100	Pf3D7_11_v3	382569	387150	-	4582	7	4	6	24
PF3D7_0405500	Pf3D7_04_v3	301259	302267	-	1009	82	81	86	104
mal_rna_11	Pf_M76611	1916	2023	-	108	0	0	0	0
PF3D7_0832800	Pf3D7_08_v3	1411058	1412141	+	1084	0	0	0	0
PF3D7_1422600	Pf3D7_14_v3	910227	912152	+	1926	16	2	22	10
PF3D7_0914700	Pf3D7_09_v3	630657	632207	+	1551	71	23	86	24
PF3D7_1312900	Pf3D7_13_v3	548586	552841	+	4256	897	961	872	1148
PF3D7_1224900	Pf3D7_12_v3	1010832	1011342	-	511	79	42	36	35
PF3D7_1220300	Pf3D7_12_v3	807560	816204	+	8645	10	0	6	4
PF3D7_0314900	Pf3D7_03_v3	608883	610718	+	1836	18	2	12	7
PF3D7_1314000	Pf3D7_13_v3	602983	606600	+	3618	31	16	14	30
PF3D7_0205400	Pf3D7_02_v3	223478	224851	+	1374	66	84	100	99
PF3D7_1010900	Pf3D7_10_v3	426601	428146	+	1546	77	58	55	58
PF3D7_1457200	Pf3D7_14_v3	2343640	2344218	-	579	487	117	320	136
PF3D7_0422500	Pf3D7_04_v3	1029329	1037953	+	8625	730	688	527	648
